"","vek","pohl","panas_01","panas_02","panas_03","panas_04","panas_05","panas_06","panas_07","panas_08","panas_09","panas_10","panas_11","panas_12","panas_14","panas_15","panas_16","panas_17","panas_18","panas_19","panas_20","panas_21","swls_01","swls_02","swls_03","swls_04","swls_05","cesd_01","cesd_02","cesd_03","cesd_04","cesd_05","cesd_06","cesd_07","cesd_08","cesd_09","cesd_10","bfi2s_01","bfi2s_02","bfi2s_03","bfi2s_04","bfi2s_05","bfi2s_06","bfi2s_07","bfi2s_08","bfi2s_09","bfi2s_10","bfi2s_11","bfi2s_12","bfi2s_13","bfi2s_14","bfi2s_15","bfi2s_16","bfi2s_17","bfi2s_18","bfi2s_19","bfi2s_20","bfi2s_21","bfi2s_22","bfi2s_23","bfi2s_24","bfi2s_25","bfi2s_26","bfi2s_27","bfi2s_28","bfi2s_29","bfi2s_30","bfi2s_s_extraversion","bfi2s_s_agreeableness","bfi2s_s_conscientiousness","bfi2s_s_negative_emotionality","bfi2s_s_open_mindedness","cesd_s_total","swls_s_satifaction"
"51",42,"F",2,3,1,3,4,1,2,1,2,3,3,3,1,3,2,3,3,3,4,2,5,3,4,4,5,2,2,2,2,3,1,1,4,2,1,2,4,2,4,2,3,2,2,2,2,3,3,4,4,2,4,2,4,4,2,3,4,4,4,4,2,3,2,2,4,21,22,24,14,16,16,4.2
"52",41,"M",4,2,4,4,4,1,3,3,4,4,3,4,1,4,4,4,3,4,4,4,6,6,6,7,6,2,1,1,2,4,1,1,4,1,1,2,4,2,4,5,5,4,3,2,2,4,3,4,2,5,4,2,4,2,4,2,4,4,4,4,2,3,3,4,2,25,20,22,20,26,12,6.2
"53",44,"F",4,2,4,2,4,2,2,3,4,3,3,3,2,4,3,4,4,2,4,4,4,4,5,4,3,1,2,1,2,2,1,1,4,1,2,2,4,3,4,4,3,2,3,2,1,3,3,4,3,3,4,2,3,3,4,3,4,3,3,4,2,3,2,4,2,21,22,20,19,24,15,4
"54",45,"M",5,2,3,2,3,2,1,1,5,3,1,4,1,4,2,4,4,3,4,1,4,4,4,3,2,1,2,1,2,4,1,1,3,1,1,3,4,3,4,5,3,2,4,3,1,4,3,3,3,5,5,2,5,4,5,3,4,4,3,5,2,4,2,4,1,22,21,21,19,30,13,3.4
"55",54,"F",4,3,2,1,3,1,1,1,3,4,1,3,1,4,3,4,4,3,4,3,2,4,5,5,2,1,3,2,3,3,2,2,4,2,2,2,5,4,4,5,2,2,5,3,3,4,4,5,3,5,5,2,1,2,5,4,5,3,4,5,2,5,5,5,1,21,23,13,21,28,20,3.6
"56",49,"M",4,3,4,3,5,2,1,2,4,5,4,4,1,4,5,4,4,2,3,1,6,7,7,7,7,2,2,1,2,1,2,4,4,1,3,5,2,4,4,1,3,3,2,3,5,4,3,4,4,3,5,2,4,4,1,4,4,4,4,3,3,3,3,3,3,18,19,21,16,12,22,6.8
"57",51,"F",3,3,NA,2,2,1,1,1,3,2,2,3,1,3,2,3,3,1,3,2,4,4,5,5,3,2,1,1,3,2,1,1,2,1,3,2,4,3,4,3,2,1,2,1,2,3,4,4,3,4,5,2,2,3,3,4,5,3,4,4,2,2,3,3,2,20,26,19,16,22,19,4.2
"58",47,"M",5,2,4,3,5,1,1,1,3,3,3,3,1,4,3,4,4,1,5,4,5,5,5,6,6,1,1,1,1,2,NA,2,3,2,1,3,4,2,5,3,5,2,2,2,2,5,3,5,3,5,5,2,5,4,3,2,5,5,4,5,2,4,1,5,1,26,22,28,19,25,NA,5.4
"59",53,"M",3,2,3,3,3,4,4,2,3,3,4,4,3,3,4,3,3,4,4,4,4,4,4,5,3,2,2,3,2,2,3,3,2,3,2,2,3,2,4,3,3,2,2,2,4,4,4,4,4,4,4,3,3,4,2,3,4,4,3,4,2,3,4,3,2,22,21,21,16,19,26,4
"60",52,"M",3,3,3,4,3,2,2,1,3,4,3,4,1,3,3,3,4,2,4,2,5,5,6,6,5,1,2,1,1,4,1,1,3,2,1,2,4,3,4,3,4,3,3,2,3,3,4,4,4,4,4,3,4,4,2,3,4,4,4,2,3,3,2,3,3,21,21,22,15,17,13,5.4
